PVxMPIN,PVxSCIE
460.7303,431.511
276.3422,235.4427
438.95589999999993,414.5147999999999
420.0526,402.9742
621.6503999999999,638.1699
381.5827000000001,430.82
362.0679,372.6873999999999
487.4315,508.85030000000006
331.9365,307.4551
286.94050000000004,248.86880000000005
336.30249999999995,309.18870000000004
490.4478,447.3644000000001
245.2947,226.91040000000004
491.8427999999999,534.1051
558.7574999999999,484.4153
291.9603000000001,308.714
347.77809999999994,322.8469
607.5872999999999,592.3716
492.7763,525.9755
307.8432,337.92479999999995
509.2569,518.0790999999999
393.1183,497.0728
466.8381,544.3625
495.8755,484.6803
432.3262,410.2168
482.195,419.7178
491.7104000000001,404.736
444.7184,417.0487999999999
365.568,374.1205
288.3172,224.4734
585.8100999999999,550.0149999999999
440.4666,421.6737999999999
248.7123,278.9777
465.169,449.8742
446.3381,452.5171
457.3577,437.1449
473.3513999999999,495.8478999999999
448.1037,450.7806
328.3756,384.2143
453.5683000000001,451.1232
428.9381,490.228
394.8731,436.0036
448.4108,448.5865
480.2803,538.1395
368.7355,368.7236
345.88000000000005,355.629
287.2995,300.0033
382.7262,440.1955000000001
505.3572,502.5969
436.6913,376.5075
619.8525999999999,640.8863999999999
392.3386,385.6219
394.0548,368.3885
245.42200000000005,272.9075
353.6503,390.9935
211.279,251.7304
565.718,599.9882
316.3179,247.24680000000004
397.4691,444.3920999999999
406.2179,498.0828
468.8363,448.4636
673.2749,513.1915000000001
502.3081,501.4030000000001
401.4869,489.4844
471.4886000000001,532.9573
536.9421000000001,577.3848
567.8660000000001,574.1494
424.7243,453.6193999999999
475.97059999999993,538.2627
496.2288,507.1975000000001
578.8385000000001,623.8086999999999
400.8646,373.4472
485.3663,517.3590999999999
604.8501000000001,582.484
400.25970000000007,459.9282
445.2897,431.4231
373.4083,345.3989
402.7647,396.8229
509.2469,533.6366
352.57039999999995,381.979
473.1309,459.07040000000006
487.9300999999999,532.7579
503.1401,492.2827
489.3132,508.4201999999999
576.9806,590.6782999999999
474.4801000000001,487.1709000000002
404.9647,436.24840000000006
336.60509999999994,341.6025
552.2254,630.9839999999999
544.3534999999999,568.0991999999999
483.7319,495.4456
