ESCS,PVxSCIE,REGION
0.5683,325.65220000000005,Americas
-1.3342,338.31700000000006,Asia
-0.2491,334.178,Asia
0.6586,485.2139,Americas
-3.7667,285.1165,Africa
-0.1053,480.7195,Europe
-1.0656,386.144,Americas
-0.3164,368.4918,Asia
-0.8555,441.8143999999999,Asia
-0.7199,489.8391,Europe
1.4523,597.338,Europe
0.9958,522.1881,Europe
0.1636,451.66669999999993,Europe
-0.7587,566.7241,Americas
0.9475,632.2042,Europe
0.2544,382.5869,Europe
-2.3391,358.7047,Asia
-2.2905,357.0051,Americas
1.0179,616.5740000000002,Europe
0.1651,497.9958,Europe
0.1803,544.8075000000001,Europe
-1.0535,382.665,Europe
-1.1744,391.1708,Asia
-0.2929,526.3597,Asia
-1.5148,393.61550000000005,Americas
-0.2087,338.483,Europe
0.9715,464.4539,Europe
-1.093,279.03000000000003,Americas
-3.0761,336.1251,Americas
-0.1855,483.8627,Europe
0.897,475.0998000000001,Americas
0.7544,533.5997,Americas
1.2915,637.9709,Europe
0.0343,519.0067999999999,Asia
0.8123,632.0037,Asia
-0.2834,393.6129,Europe
-0.0378,367.2152,Europe
1.5222,531.5492,Americas
1.1076,555.0067,Europe
1.0305,592.2920999999999,Europe
0.5254,348.9687,Americas
-0.8312,309.8394,Europe
-0.8925,325.25249999999994,Asia
-2.1305,331.4645,Africa
-1.3384,587.6119,Americas
0.2987,482.0945,Europe
-0.4535,395.293,Asia
0.211,532.9201999999999,Europe
1.7993,539.7059999999999,Oceania
-1.019,347.7049,Asia
0.0258,481.7464,Europe
-1.0149,514.6687999999999,Asia
0.3959,572.6780000000001,Europe
-0.8897,577.8729000000001,Asia
-0.3438,534.4755,Europe
-1.1316,339.55190000000005,Asia
0.4635,645.8658999999999,Europe
-0.3991,448.1806,Europe
-3.0139,435.6084,Africa
-0.0364,265.3361,Europe
0.0663,389.713,Otro
2.1542,274.9807,Americas
0.4848,458.3115,Europe
0.6799,535.1537999999999,Asia
0.5165,615.6504,Asia
-0.3201,405.8129,Asia
-3.3083,386.1399,Europe
-0.181,446.5514999999999,Americas
-0.6157,387.2546,Asia
0.32525117631851086,427.59620000000007,Asia
-1.5783,281.2734,Americas
0.2257,320.69480000000004,Americas
0.4083,380.9141,Asia
0.0988,517.4095,Americas
-1.0471,322.726,Americas
-0.1209,356.0875,Asia
-0.9267,448.2598,Americas
1.0672,647.1045,Europe
-0.9959,245.7638,Asia
-0.5871,257.5877,Americas
-1.1133,523.1881,Europe
0.0127,480.6159,Asia
-0.787,386.2049,Europe
0.7179,364.1021,Europe
0.5921,457.10870000000006,Asia
1.1311,484.7799,Europe
-2.5688,465.32130000000006,Americas
0.0788,517.1798000000001,Americas
0.4444,381.1703,Europe
-0.9719,448.68369999999993,Europe
-1.3053,441.98550000000006,Europe
0.9334,660.1537,Europe
-0.1835,398.6116,Oceania
0.59,643.1708999999998,Europe
-2.1557,355.0212,Europe
0.1909,448.3701,Asia
0.7886,531.6904,Asia
-0.6588,463.3887,Asia
-0.5604,410.2370000000001,Europe
-1.5504,524.7392000000001,Europe
0.6999,600.2654,Americas
-0.8524,510.4725999999999,Americas
0.3567,679.6424,Europe
0.3339245045802954,606.8518,Americas
1.1604,594.3642,Europe
-0.02354712603269467,435.8674000000001,Asia
0.4911,497.9103000000001,Asia
0.3519,673.4754,Asia
-3.472,332.419,Asia
-2.075,486.1306,Asia
-0.2759,343.9205,Asia
-0.1131,338.0876,Europe
-1.147,412.7985000000001,Europe
-0.1369,407.808,Europe
-2.1701,316.47980000000007,Americas
-0.0964,455.7379,Europe
-0.6198,489.4491,Europe
0.837,521.1324000000002,Americas
0.5832,440.4240000000001,Europe
-1.9532,320.1198,Otro
0.715,505.5801,Asia
-0.4162,452.4015,Europe
-1.5469,354.3371,Americas
-0.7838,533.7984,Europe
0.0718,409.1226,Europe
1.3674,609.1543,Europe
-2.5514,402.0952,Asia
0.2783,568.7652999999999,Asia
-1.5069,280.4768,Europe
0.4735,414.6477999999999,Asia
0.5285,559.4345999999999,Europe
-1.8848,336.5191,Americas
0.6796,554.0415999999999,Europe
-1.1368,354.8609,Americas
0.9527,513.3509,Europe
-1.2091,324.45650000000006,Asia
-0.3894,381.8657,Asia
0.2754,275.2474,Europe
0.9776,596.728,Europe
-0.6954,475.1104,Europe
0.9643,634.1125999999999,Europe
-0.1889,234.57740000000004,Americas
-1.4933,398.7056,Europe
0.5706,555.926,Americas
-0.1543,361.9795,Americas
